,aspects,frequency,emotions
0,sometimes review list,1,
1,pathetically dumb fool,1,
2,first wa kid,1,Happy
3,yet lovely book,1,Happy
4,masterly serious instance,1,
5,elaborately magical element,1,Surprise
6,lighter comedic approach,1,
7,honestly combine horror,1,Surprise
8,tilly great job,1,Happy
9,usually combo stiller,1,
10,god much sequel,1,Surprise
11,truly awful question,1,Fear
12,really decided conclusion,1,Surprise
13,definitely potential lew,1,Fear
14,simply know deal,1,
15,swim good laugh,1,Happy
16,always disappointed end,1,Sad
17,well surprised ha,1,Surprise
18,better come watch,1,Surprise
19,nearly wept joy,1,
20,yet relax charlie,1,Fear
21,really wish life,1,Surprise
22,elite hellcat fighter,1,
23,mighty unwelcome chance,1,Fear
24,somewhat annoying thick,1,Surprise
25,incredibly cheesy action,1,Fear
26,instead real life,1,Fear
27,mayhem good ol,1,Happy
28,unwittingly plot destruction,1,
29,band radical commit,1,Fear
30,far ludicrous movie,1,Fear
31,entirely merit script,1,
32,possibly unhilarious thing,1,Surprise
33,heard plus scene,1,
34,absence previous star,1,
35,away comedy action,1,Angry
36,yet compensate lack,1,
37,terribly good edge,1,Happy
38,really horror film,1,Surprise
39,pretty good playing,1,Happy
40,particularly attractive haunting,1,Happy
41,deadly serious cali,1,
42,roundly compelling performance,1,Sad
43,regard beautiful drug,1,Happy
44,also modern story,1,
45,simply sad movie,1,Sad
46,even dark side,1,Sad
47,anyway teeth manage,1,Fear
48,absolutely beautiful mountain,1,Happy
49,amazingly alive spite,1,Sad
50,relatively small number,1,Fear
51,even second time,2,
52,finally original dvd,1,Fear
53,greatly increase fan,1,Happy
54,together lead future,1,
55,first directorial effort,1,Surprise
56,almost touch smell,1,Sad
57,extremely dum coffee,1,
58,wholly understandable audience,1,Sad
59,still shot space,1,
60,maybe high story,1,Fear
61,never long time,1,Fear
62,totally pumped see,1,
63,first saw movie,9,Surprise
64,neighbor suspicious thing,1,Surprise
65,bluntly horrid piece,1,Fear
66,clearly obvious reason,1,Sad
67,nowhere distractive romance,1,
68,conveniently disappear scene,1,Happy
69,together modern brain,1,
70,north civil war,1,
71,quite boring way,1,Sad
72,yet comedic stunt,1,Fear
73,basically good make,1,Happy
74,immediately greek tragedy,1,
75,really want test,1,Surprise
76,oscar material fun,1,Happy
77,fairly enjoyable time,1,Happy
78,absolutely horrible beast,1,Fear
79,never able forget,1,Angry
80,father uglier style,1,
81,rather cute storyline,1,Happy
82,funny serious fact,1,Surprise
83,far worse game,1,Sad
84,never grand finale,1,Surprise
85,totally bored audience,1,Sad
86,supposedly smart day,1,Happy
87,quite bad effort,1,Sad
88,frisco big shakedown,1,
89,rather attractive couple,1,Happy
90,surprisingly modern living,1,
91,lonely cynical older,1,Sad
92,ultimately fails end,1,
93,still fellow hate,1,Sad
94,stowaway utter drivel,1,
95,quite scheme convince,1,
96,lovely madeleine carroll,1,Happy
97,viewer critical opinion,1,Fear
98,respectively next millennium,1,
99,yet white friend,1,Happy
100,make hilarious character,1,Happy
101,merely shameless excuse,1,Sad
102,even despicable wheel,1,
103,soon legendary semi,1,
104,really cool end,1,Happy
105,never real proof,1,Sad
106,doe right thing,1,Surprise
107,alike welcome dollhouse,1,Happy
108,else poignant truth,1,
109,yeah sh mean,1,
110,completely whole warms,1,Fear
111,ahead mark webber,1,
112,sadly sight college,1,Fear
113,quite funny thing,1,Surprise
114,surprisingly good course,1,Happy
115,even florid speech,1,
116,similarly invoked deity,1,
117,probably experiment note,1,Fear
118,soon pas world,1,
119,maybe big hour,1,
120,sometime uncommitted care,1,
121,clearly true minute,1,
122,mostly inane repeat,1,
123,best short bother,1,Angry
124,maybe real name,1,Sad
125,strictly historical doe,1,
126,practically alive point,1,Surprise
127,fast loose history,1,Fear
128,mildly entertaining intrigue,1,Fear
129,unfortunately fall becomes,1,Sad
130,well outstanding way,1,Happy
131,absolutely awful work,1,Fear
132,rather noir experience,1,Sad
133,never fond term,1,
134,darkly funny wife,1,Surprise
135,atmosphere coldness emptiness,1,Sad
136,wa good hobbit,1,Happy
137,pretty good disgrace,1,Happy
138,really little message,1,Surprise
139,otherwise great majority,1,Happy
140,still photograph murder,1,
141,mostly silent footage,1,
142,extremely cheap boring,1,Sad
143,almost funny element,1,Surprise
144,really bad make,1,Sad
145,yet pragmatic tone,1,
146,entirely appropriate context,1,Happy
147,equally second sound,1,Sad
148,really good masturbation,1,Happy
149,either great communicator,1,Happy
150,certainly unhappy individual,1,Sad
151,kelly preston chirk,1,
152,enough special effect,2,Surprise
153,certainly awful razzies,1,
154,excalibur many time,1,
155,tad flexible point,1,Surprise
156,rather implausible plausibility,1,Fear
157,never guess girl,1,Surprise
158,alone enough attitude,1,Sad
159,gloriously uninspired performance,1,
160,even intended century,2,
161,wonderfully screwy airplane,2,Surprise
162,leather estranged boyfriend,2,
163,importantly personal male,1,Fear
164,heavily ham egg,1,Sad
165,still anime look,1,
166,really pulled heart,1,Surprise
167,totally believable job,1,Fear
168,enough signal cell,1,
169,suddenly angry momma,1,Angry
170,rarely scary horror,1,Surprise
171,also common sense,1,Fear
172,lullaby psychoanalytic dream,1,
173,somehow original industry,1,
174,virtually spectrum hint,1,
175,well survival skill,1,
176,seemingly devoid relationship,1,Sad
177,rather wooden pun,1,Fear
178,surely strong seller,1,Happy
179,really tall order,1,Surprise
180,much screen time,3,
181,originally high hope,1,Fear
182,obviously madhuri dixit,1,
183,absolutely airtime comparison,1,Fear
184,morally charismatic perky,1,Happy
185,remotely interesting agent,1,Happy
186,slowly coming grip,1,Surprise
187,pretty stupid hate,1,Happy
188,actually stunned comment,1,Surprise
189,apart tedious stereotype,1,
190,still end mass,1,
191,long open fact,1,Fear
192,worst old everybody,1,Sad
193,look gorgeous enjoyed,1,Happy
194,really worth time,2,Surprise
195,anyway avoid cost,1,Surprise
196,pretty decent talan,1,Happy
197,completely unable part,1,Sad
198,ha smoother transition,1,Angry
199,highly underrated america,1,
200,really crappy v,1,Surprise
201,safely bad irritating,1,Angry
202,together struggle side,1,
203,instead forgettable farce,1,Fear
204,mirthless previous misfire,1,Angry
205,rather reassigned storm,1,Sad
206,surprisingly dime approach,1,
207,largely unsavory dimwit,1,
208,indeed eclectic gallery,1,
209,rarely prompt anything,1,
210,pretty dire entertainment,1,Happy
211,genuinely funny moment,4,Surprise
212,really enjoyed animation,1,Happy
213,still notice difference,1,Fear
214,best fear enemy,1,Surprise
215,truly original movie,1,
216,name pretentious manages,1,Fear
217,csi many version,1,
218,wa great movie,6,Happy
219,well worth lionel,1,Fear
220,made good cast,1,Happy
221,quite faithful knock,1,
222,truly worked miracle,1,Surprise
223,probably different opinion,1,Fear
224,otherwise admirable cast,1,Happy
225,infinitely superior garbage,1,
226,much new offer,1,Fear
227,even bitter end,1,Angry
228,far easier comment,1,Fear
229,pretty much flawless,1,Happy
230,else spray swordplay,1,
231,quite know belongs,1,Happy
232,wa available dvd,1,
233,even young daughter,1,
234,away astonish epic,1,Angry
235,almost want people,1,
236,quite enjoyable rick,1,Happy
237,still good story,1,Happy
238,back beg token,1,Sad
239,anyway lisa deleeuw,1,
240,visually interesting intelligent,1,Happy
241,however education buddhism,1,Surprise
242,well comic team,1,
243,loudly buddhist practice,1,
244,absolutely terrible foul,1,Fear
245,soon saw poster,1,
246,however wa disappointment,1,Surprise
247,deadly virus mixture,1,
248,nonstoppingly average viewer,1,Fear
249,physically disabled end,1,
250,seemingly futile search,1,
251,violently undergrowth face,1,
252,nonetheless massive undertaking,1,Sad
253,fairly standard shake,2,
254,ultimately doe hold,2,
255,heard awful struggle,1,
256,essentially sorry spoil,1,Sad
