,aspects_AVN,emotions
0,"second studied cinema, please think chance",Surprise
1,,
2,,
3,,
4,,
5,live made someone,Sad
6,bad acting plot,
7,,
8,,
9,,
10,strudwick working instrument,Fear
11,balcony overlooking beach,
12,,
13,"classic coming america, shot bleeding death, pinchot attempting make",Surprise
14,likable trusting character,Fear
15,"strong ending completes, impressed directing photography",Fear
16,,
17,ha happened change,
18,,
19,,
20,,
21,,
22,,
23,,
24,"stupid looking hero, dusty calling replacement",
25,human including adam,
26,"generic leaving farm, previous reinforcing principle",Fear
27,,
28,,
29,,
30,,
31,later struck story,Surprise
32,,
33,,
34,,
35,"underpaid paid ha, ukraine continuing recruit",
36,"shocked winning doe, simple exist move, extraneous regarding battle, new commissioned soundtrack",Happy
37,"catholic taught way, particular gave movie, actor working wish",Fear
38,angry made sense,Sad
39,,
40,pathetic made plot,Sad
41,second popped mitch,
42,,
43,"long took filmmaker, thoughtful filmmaking dug",Surprise
44,"queen turning men, worth watching see",Surprise
45,good watched today,Surprise
46,,
47,,
48,animal hitting pool,Angry
49,worth watching ambiance,Surprise
50,"different ending mind, technical supporting actor",Surprise
51,u waiting something,Surprise
52,,
53,,
54,englishman fishing vacation,
55,future come anyone,
56,"expensive schooling etc, stupid talking rat",
57,open thrusted stomach,
58,difficult intimate somewhat,Happy
59,busy trying work,Fear
60,,
61,unlikeable annoying character,Sad
62,"creative writing class, cynical aspiring storyteller",Surprise
63,,
64,,
65,hard believe anyone,
66,afterthought resounding success,Sad
67,basic understanding wa,
68,,
69,"u make mind, good produced quality",Surprise
70,dear sibling see,
71,,
72,,
73,popular loved movie,Happy
74,,
75,,
76,,
77,outstanding set research,Fear
78,,
79,"human endangered specie, capable helping slavery",Surprise
80,,
81,,
82,girl played dee,Fear
83,know doctored church,Surprise
84,many stand ups,Fear
85,terrible writing doug,
86,"scary uninspired clone, central introduced leader, old trying get",
87,thoughtful giving variety,Sad
88,"human finding belong, shame wanted end",Happy
89,,
90,brief love movie,Happy
91,"ominous looking barrel, carnivorous take time, poor mauled friend",Happy
92,,
93,musical discussed imagine,Surprise
94,,
95,unbelievable released dvd,
96,relevant annoying movie,Sad
97,,
98,great throwing look,
99,,
100,"read king book, funny talking dog",
101,"little confusing name, shawl walking cane",Fear
102,seat make mention,Sad
103,small minded people,Surprise
104,"uptight moralizing ego, many trailing line",Sad
105,litzke winning france,
106,,
107,,
108,tale developing character,Fear
109,unappreciated given time,Fear
110,,
111,,
112,,
113,,
114,,
115,"keen wanting watch, nd put pressure",Surprise
116,,
117,wild touching tribute,Sad
118,,
119,many achieve kind,Happy
120,,
121,,
122,,
123,,
124,mixed feeling movie,
125,,
126,write bought copy,
127,,
128,,
129,,
130,masterful opening closing,Happy
131,"poor casting choice, capable waiting time",Angry
132,,
133,scalawag interesting tell,Happy
134,,
135,,
136,,
137,,
138,"gross balanced move, plenty amusing liner",Fear
139,,
140,scene smoking pot,Angry
141,,
142,,
143,good acting mean,
144,,
145,,
146,,
147,,
148,serious filmed year,
149,,
150,,
151,"underdog struggling morality, played supporting relationship",
152,"many talking head, harvard done research",Fear
153,,
154,engage chewing scenery,
155,"distress keep balance, den converted dining",Fear
156,,
157,guilty killing husband,Surprise
158,,
159,bad went downhill,Fear
160,,
161,,
162,,
163,,
164,many involved hero,Fear
165,earth kid movie,Happy
166,"top poaching damn, atlantic pushing coincidence",Fear
167,sad depressing saw,Sad
