,aspects,frequency,emotions
0,second studied cinema,1,
1,please think chance,1,Surprise
2,live made someone,1,Sad
3,bad acting plot,1,Sad
4,strudwick working instrument,1,Fear
5,balcony overlooking beach,1,
6,classic coming america,1,Surprise
7,shot bleeding death,1,Fear
8,pinchot attempting make,1,Sad
9,likable trusting character,1,Fear
10,strong ending completes,1,Happy
11,impressed directing photography,1,Happy
12,ha happened change,1,
13,stupid looking hero,1,
14,dusty calling replacement,1,
15,human including adam,1,
16,generic leaving farm,1,
17,previous reinforcing principle,1,Fear
18,later struck story,1,Surprise
19,underpaid paid ha,1,
20,ukraine continuing recruit,1,
21,shocked winning doe,1,Surprise
22,simple exist move,1,Fear
23,extraneous regarding battle,1,Happy
24,new commissioned soundtrack,1,
25,catholic taught way,1,Sad
26,particular gave movie,1,Fear
27,actor working wish,1,Fear
28,angry made sense,1,Angry
29,pathetic made plot,1,Sad
30,second popped mitch,1,
31,long took filmmaker,1,Surprise
32,thoughtful filmmaking dug,1,Sad
33,queen turning men,1,Surprise
34,worth watching see,2,Surprise
35,good watched today,1,Happy
36,animal hitting pool,1,Angry
37,worth watching ambiance,1,Surprise
38,different ending mind,1,Surprise
39,technical supporting actor,1,
40,u waiting something,1,Surprise
41,englishman fishing vacation,1,
42,future come anyone,1,
43,expensive schooling etc,1,
44,stupid talking rat,1,
45,open thrusted stomach,1,Fear
46,difficult intimate somewhat,1,Happy
47,busy trying work,1,Fear
48,unlikeable annoying character,1,Sad
49,creative writing class,1,Surprise
50,cynical aspiring storyteller,1,Fear
51,hard believe anyone,2,Angry
52,afterthought resounding success,1,Sad
53,basic understanding wa,1,
54,u make mind,1,Surprise
55,good produced quality,1,Happy
56,dear sibling see,1,Surprise
57,popular loved movie,1,Happy
58,outstanding set research,1,Happy
59,human endangered specie,1,Fear
60,capable helping slavery,1,Surprise
61,girl played dee,1,Surprise
62,know doctored church,1,Surprise
63,many stand ups,1,Fear
64,terrible writing doug,1,Fear
65,scary uninspired clone,2,Fear
66,central introduced leader,2,Surprise
67,old trying get,2,
68,thoughtful giving variety,1,Sad
69,human finding belong,1,Happy
70,shame wanted end,1,
71,brief love movie,1,Happy
72,ominous looking barrel,1,Sad
73,carnivorous take time,1,
74,poor mauled friend,1,Happy
75,musical discussed imagine,1,Surprise
76,unbelievable released dvd,1,
77,relevant annoying movie,1,Sad
78,great throwing look,1,Happy
79,read king book,1,
80,funny talking dog,1,Surprise
81,little confusing name,1,Fear
82,shawl walking cane,1,Fear
83,seat make mention,1,Sad
84,small minded people,1,Surprise
85,uptight moralizing ego,1,Angry
86,many trailing line,1,Sad
87,litzke winning france,1,
88,tale developing character,1,Fear
89,unappreciated given time,1,Fear
90,keen wanting watch,1,Surprise
91,nd put pressure,1,Sad
92,wild touching tribute,1,Sad
93,many achieve kind,1,Happy
94,mixed feeling movie,1,
95,write bought copy,1,
96,masterful opening closing,1,Happy
97,poor casting choice,2,Angry
98,capable waiting time,2,Surprise
99,scalawag interesting tell,1,Happy
100,gross balanced move,1,Sad
101,plenty amusing liner,1,
102,scene smoking pot,1,Angry
103,good acting mean,1,Happy
104,serious filmed year,1,
105,underdog struggling morality,1,
106,played supporting relationship,1,Fear
107,many talking head,1,Fear
108,harvard done research,1,
109,engage chewing scenery,1,Fear
110,distress keep balance,1,Sad
111,den converted dining,1,
112,guilty killing husband,1,Happy
113,bad went downhill,1,Sad
114,many involved hero,1,Fear
115,earth kid movie,1,Happy
116,top poaching damn,1,Surprise
117,atlantic pushing coincidence,1,Fear
118,sad depressing saw,1,Sad
119,favorite aging france,1,Happy
120,mean intriguing story,1,Fear
121,human filmmaking ivashov,1,
122,low redeeming factor,1,Surprise
123,poor acting couple,1,
124,overwhelmed moved emotion,1,Sad
125,u made tv,1,Sad
126,angry watching shouldnt,1,Angry
127,whole tied day,1,Happy
128,real make laugh,1,Sad
129,hard think fact,1,Angry
130,empty kicking food,1,Surprise
131,descendant appalled see,1,Surprise
132,incorrect sending message,1,Fear
133,wrong keep girl,1,Surprise
134,evocative compelling today,1,Sad
135,obvious miscasting slater,1,
136,wa looking set,1,Fear
137,genius wrote amores,1,Surprise
138,fan thriller richard,1,
139,rid kidnapping life,1,Fear
140,black made colombia,1,Sad
141,young leading actor,1,
142,painful hope champion,1,Happy
143,left watching tactless,1,Surprise
144,boyfriend take money,1,
145,outstanding acting cast,1,Happy
146,aka wedding weekend,1,
147,predictable entertaining dr,1,
148,captured held prisoner,1,Happy
149,cartoonish spend half,1,
150,flick mindnumbing speed,1,
151,new bathing suit,1,
152,second saving grace,1,Sad
153,implausible say story,1,Surprise
154,realistic looking effort,1,
155,detected using enemy,1,
156,single divided campaign,1,
157,audio based voice,1,Sad
158,obvious recommend fan,1,
159,open hitching ride,1,Fear
160,plot keep people,1,
161,stylish killing spree,1,Surprise
162,dern struggling actress,1,Sad
163,sure liked hell,1,Fear
164,lousy writing manages,1,Angry
165,amateurish editing crisp,1,
166,frantic necking sex,1,Fear
167,serious called chick,1,
168,old thought disney,1,Surprise
169,highlight running camera,1,Fear
170,lazy eyed fat,1,Sad
171,painful listening moment,1,Sad
172,understatement say music,1,Surprise
173,original seen employment,1,
174,animal howling beast,1,
175,open rotten head,1,Fear
176,save decay death,1,Fear
177,interior crushed silhouette,1,
178,notorious wielding leatherface,1,
179,great basking insanity,1,Happy
180,girl want friend,1,Happy
181,limited give name,1,Surprise
182,skip watching tv,1,Surprise
183,couple spend minute,1,
184,little say fact,1,Surprise
185,macho playing border,1,Happy
186,ready go relationship,1,Happy
187,gorgeous supporting cast,1,Happy
188,insufficient lighting cliché,1,
189,extreme using alcohol,1,Fear
190,second touching people,1,Sad
191,perspective think scene,1,Surprise
192,cheap keeping economy,1,Fear
193,old know care,1,
194,sexual frustrated boy,1,Angry
195,obvious seemed reason,1,Sad
196,sappy made tv,1,Sad
197,mean expect van,1,Happy
198,stick take get,1,Fear
199,big confusing mess,1,Angry
200,hard come medium,1,Angry
201,empathy understand dialogue,1,Happy
202,bad given something,1,Sad
203,belief starring cody,1,
204,stupid acting dreadful,1,Sad
205,warm amusing comedy,1,Fear
206,u expect bruce,1,Happy
207,plaza held party,1,Fear
208,girl acting till,1,Surprise
209,outlasted took anybody,1,Surprise
210,great acting photography,1,Happy
211,unbelievable supporting role,1,
212,remote setting character,1,Fear
213,fine setting action,1,Fear
214,poor dubbing proto,1,
215,plenty warning sign,1,Fear
216,worth watching pleasure,1,Happy
217,right waking coma,1,Fear
218,curious got wa,1,Surprise
219,many believed others,1,
220,important allied mission,1,Happy
221,shot happening miniature,1,
222,wa lightning video,1,
223,hey make movie,1,Surprise
224,regular expected space,1,Happy
225,detective come show,1,
226,criminal using trick,1,Surprise
227,small budgeted movie,1,
228,warrior running joke,1,Happy
229,first admit ha,1,Surprise
230,complete dubbing string,1,
231,familiar including lothaire,1,
232,ha edited director,1,Surprise
233,possible asserted backdrop,1,Fear
234,much maligned decide,1,Fear
235,beautiful involving game,1,Happy
236,little take timing,1,
237,captured disagree anyone,1,Happy
238,good think movie,1,Happy
239,narrative winning photography,1,
240,ralph pushing daisy,1,Fear
241,many hold fawlty,1,
242,sick opening scene,1,Sad
243,permanent recording medium,1,
244,hard develop character,1,Fear
245,latitude enjoyed recommend,1,Happy
246,successful making part,1,Sad
247,worth watching recommend,2,Surprise
248,hard believe wa,1,Angry
249,soft porn version,1,Surprise
250,worth forgiving director,1,Surprise
251,impressed rated movie,1,Happy
252,favorite supporting role,1,Happy
253,good growing job,1,Happy
254,perfect want work,1,Sad
255,wish born backwards,1,Sad
256,funny aimed adult,1,Surprise
257,powerful calculating army,1,
258,open standing shot,1,Fear
259,dog wearing mop,1,Sad
260,wa boating accident,1,
261,intelligent provoking direction,1,Angry
262,minute ending sh,1,Fear
263,orgiastic induced state,1,Sad
264,beautiful landscaping serve,1,Happy
265,dumb ending plain,1,Fear
266,ha living rock,1,
267,fantastic moving julie,1,Happy
268,certain reading write,1,Fear
269,old fashioned recitation,1,
270,many encounter outlaw,1,
271,meet arriving town,1,Sad
272,much filmed technicolor,1,
273,terrible moving way,1,Fear
274,powerful moving ha,1,
275,frustrated picking nut,1,Angry
276,birthday go home,1,Sad
277,able take eye,2,
278,highlight recommend anyone,1,Fear
279,strong supporting cast,4,Happy
280,straight filming speed,1,
281,strange annoying computer,1,Sad
282,non acting actor,1,
283,beautiful looking film,1,Happy
284,adequate acting performance,1,Fear
285,smart showing assignment,1,
286,ingenious dared idea,1,Happy
287,close achieving anything,1,Happy
288,spite emerging technology,1,Sad
289,abominable shining moment,1,Fear
290,dr strangelove caricature,1,
291,nonsensical acting direction,1,
292,suspenseful trying maneuver,1,
293,modern remake catch,1,
294,intellectual taking account,1,Surprise
295,bizarre casting decision,1,Fear
296,hysterical dragged seem,1,Sad
297,fit interviewed asks,1,Happy
298,wrong happening thing,1,Surprise
299,impossible splatting gun,1,
300,flat retarded zombie,1,Sad
301,great working dull,1,Happy
302,first make lame,1,Surprise
303,steady plodding feeling,1,
304,gritty entertaining relationship,1,
305,good going watch,1,Happy
306,successful capturing tedium,1,Happy
307,highlight supporting role,1,Fear
308,cocky take hell,1,Happy
309,individual acting performance,1,
310,first airing pilot,1,Surprise
311,picture bought drove,1,Fear
312,wrong haunting tale,1,
313,slow took day,1,Happy
314,sophisticated take philip,1,Fear
315,first viewing carl,1,Surprise
316,hard believe dr,1,Angry
317,bad acting character,1,Sad
318,noticeable increased use,1,Fear
319,non thinking mtv,1,Surprise
320,young trained war,1,
321,secret hiding everyone,1,Angry
322,wa banned video,1,Sad
323,dull characterised stuff,1,Angry
324,sundry collecting head,1,Fear
325,interchangable saying line,1,Surprise
326,big moving space,1,
327,lsd recording reaction,1,
328,boy played son,1,Fear
329,forgivable glaring example,1,
330,special started watch,1,Surprise
331,bad acting believe,1,Sad
332,fabulous costuming dig,1,Happy
333,ok made super,1,Sad
334,fine acting captivating,1,Happy
335,spear went everyone,1,Fear
336,impeccable timing end,1,
337,poor cared result,1,Sad
338,poor get phone,1,
339,second say cook,1,Surprise
340,come take seat,1,
341,guilty ruined everyone,1,Happy
342,bad stay air,1,Angry
343,middle aged men,1,Angry
344,ambiguous suggesting losing,1,Sad
345,rpg remember day,1,Happy
346,previous answered yes,1,Sad
347,enough leave audience,1,
348,easy identify someone,1,Happy
349,leigh filling flight,1,Fear
350,different sharing music,1,
351,different involving teen,1,Angry
352,modern lost nihilism,1,Sad
353,diary lost story,1,Sad
354,happy ending guy,1,Happy
355,funny laughed harder,1,Surprise
356,agador trying toss,1,Sad
357,bad watching xxx,1,Surprise
358,deep depressing end,1,Sad
359,mysterious cursed tree,1,Surprise
360,poor flawed execution,1,
361,terrible messed story,1,Angry
362,sandy conforming bird,1,Angry
363,nostalgic became star,1,Sad
364,american grew country,1,
365,hard see resemblance,1,Angry
366,derivative remember thing,1,Surprise
367,tool look nothing,1,
368,bad left use,1,Sad
369,commentary reeling plot,1,Sad
370,minor chosen lead,1,
371,hard believe people,2,Angry
372,main setting place,1,Fear
373,obvious tiring hero,1,
374,dismiss steered fence,1,
375,tough minded actor,1,Surprise
376,sweet caring guy,1,Sad
377,excellent supporting cast,3,Happy
378,worth viewing nothing,1,Fear
379,spectacular directed person,1,Fear
